==== 대한민국 ====
// 수도(특별시): 5x5코어, 광역시/특별자치시/특별자치도(청 소재지): 4x4코어, 나머지 7도 도청 소재지: 3x3코어
서울특별시(Seoul Special City)[서울특별시](495,517)
烟台市(Yantai City)[옌타이시](113.5,507.5) - 산둥성
威海市(Weihai City)[웨이하이시](159.5,510.5) - 산둥성

无锡市(Wuxi City)[우시시](41.5,104.5) - 장쑤성
常州市(Changzhou City)[창저우시](15.5,129.5) - 장쑤성
苏州市(Suzhou City)[쑤저우시](60.5,84.5) - 장쑤성
南通市(Nantong City)[난퉁시](77.5,135.5) - 장쑤성
盐城市(Yancheng City)[옌청시](31.5,230.5) - 장쑤성
泰州市(Taizhou City)[타이저우시](12.5,165.5) - 장쑤성

杭州市(Hangzhou City)[항저우시](25.5,19.5) - 저장성
宁波市(Ningbo City)[닝보시](111.5,1.5) - 저장성
绍兴市(Shaoxing City)[사오싱시](56.5,2.5) - 저장성
嘉兴市(Jiaxing City)[자싱시](67.5,53.5) - 저장성
湖州市(Huzhou City)[후저우시](24.5,63.5) - 저장성
舟山市(Zhoushan City)[저우산시](165.5,2.5) - 저장성

==== 러시아 연방(극동 연방관구) ====
// 연방관구 수도: 5x5코어, 연방주체 수도: 4x4코어
Биробиджан(Birobidzhan)[비로비잔](900,1276) - 유대인 자치주
Хабаровск(Khabarovsk)[하바롭스크](1049,1259) - 하바롭스크 지방
Благовещенск(Blagoveshchensk)[블라고베셴스크](532,1382) - 아무르주
Южно-Сахалинск(Yuzhno-Sakhalinsk)[유즈노사할린스크](1560,1154) - 사할린주
Владивосток(Vladivostok)[블라디보스토크](829,894) - 프리모리예 지방

==== 일본국 ====
// 수도(도): 5x5코어, 8개 지방의 핵심 도시: 4x4코어, 나머지 43현 도청소재지: 3x3코어
東京都(Tokyo Metropolis)[도쿄](1362,384) - 도쿄도
札幌市(Sapporo City)[삿포로시](1468.5,890.5) - 훗카이도
京都市(Kyoto City)[교토시](1097.5,340.5) - 교토부
大阪市(Osaka City)[오사카시](1073.5,316.5) - 오사카부
青森市(Aomori City)[아오모리시](1427.5,734.5) - 아오모리현
盛岡市(Morioka City)[모리오카시](1449.5,659.5) - 이와테현
仙台市(Sendai City)[센다이시](1436.5,562.5) - 미야기현
秋田市(Akita City)[아키타시](1383.5,662.5) - 아키타현
山形市(Yamagata City)[야마가타시](1400.5,563.5) - 야마가타현
福島市(Fukushima City)[후쿠시마시](1411.5,528.5) - 후쿠시마현
水戸市(Mito City)[미토시](1413.5,431.5) - 이바라키현
宇都宮市(Utsunomiya City)[우쓰노미야시](1373.5,442.5) - 도치기현
前橋市(Maebashi City)[마에바시시](1318.5,433.5) - 군마현
さいたま市(Saitama City)[사이타마시](1356.5,399.5) - 사이타마현
千葉市(Chiba City)[치바시](1387.5,383.5) - 치바현
横浜市(Yokohama City)[요코하마시](1352.5,370.5) - 가나가와현
新潟市(Niigata City)[니가타시](1307.5,502.5) - 니가타현
富山市(Toyama City)[도야마시](1191.5,454.5) - 도야마현
金沢市(Kanazawa City)[가나자와시](1147.5,444.5) - 이시카와현
福井市(Fukui City)[후쿠이시](1119.5,410.5) - 후쿠이현
甲府市(Kofu City)[고후시](1282.5,382.5) - 야마나시현
長野市(Nagano City)[나가노시](1258.5,451.5) - 나가노현
岐阜市(Gifu City)[기후시](1161.5,367.5) - 기후현
静岡市(Shizuoka City)[시즈오카시](1267.5,337.5) - 시즈오카현
名古屋市(Nagoya City)[나고야시](1168.5,356.5) - 아이치현
津市(Tsu City)[쓰시](1136.5,321.5) - 미에현
大津市(Otsu City)[오쓰시](1101.5,347.5) - 시가현
神戸市(Kobe City)[고베시](1050.5,318.5) - 효고현
奈良市(Nara City)[나라시](1095.5,314.5) - 나라현
和歌山市(Wakayama City)[와카야마시](1053.5,286.5) - 와카야마현
鳥取市(Tottori City)[돗토리시](986.5,374.5) - 돗토리현
松江市(Matsue City)[마쓰에시](906.5,372.5) - 시마네현
岡山市(Okayama City)[오카야마시](964.5,314.5) - 오카야마현
広島市(Hiroshima City)[히로시마시](865.5,299.5) - 히로시마현
山口市(Yamaguchi City)[야마구치시](805.5,285.5) - 야마구치현
徳島市(Tokushima City)[도쿠시마시](1005.5,275.5) - 도쿠시마현
高松市(Takamatsu City)[다카마쓰시](971.5,293.5) - 카가와현
松山市(Matsuyama City)[마쓰야마시](884.5,258.5) - 에히메현
高知市(Kōchi City)[고치시](936.5,240.5) - 고치현
福岡市(Fukuoka City)[후쿠오카시](722.5,241.5) - 후쿠오카현
佐賀市(Saga City)[사가시](716.5,221.5) - 사가현
長崎市(Nagasaki City)[나가사키시](689.5,184.5) - 나가사키현
熊本市(Kumamoto City)[구마모토시](746.5,187.5) - 구마모토현
大分市(Oita City)[오이타시](804.5,218.5) - 오이타현
宮崎市(Miyazaki City)[미야자키시](791.5,130.5) - 미야자키현
鹿児島市(Kagoshima City)[가고시마시](733.5,106.5) - 가고시마현
